ques,plank,Total count
Supporting Israel as a partner in the Middle East and defending its right to exist as a Jewish state,israel_pro,3421
Creating a program to provide a job to any American who wants one,job_guarantee,3416
Fighting to allow US territories and jurisdictions such as Puerto Rico and DC to petition for statehood,statehood,3398
Raising the national minimum wage to 15 dollars an hour,minimum_wage_15,3390
Creating term limits for the Supreme Court to end lifetime appointments for unelected officials,term_limits,3384
Mandating that utilities acquire 100% of their power from renewable sources,renewable_mandate,3357
Creating a federal right to vote and mandating independent redistricting commissions to ensure that congressional maps are fair,election_reform,3354
Opposing Israeli settlement construction while pushing for a two-state solution to the Israeli-Palestinian conflict,israel_anti,3335
Expanding federal programs to make housing more affordable,affordable_housing,3325
Investing in the development of drugs and vaccines which would be free to every American,drug_rd,3323
Giving every American the option to buy into Medicare regardless of age or income,medicare_buyin,3294
Ensuring that workers have a say in their workplaces by guaranteeing them a place on corporate boards,corporate_governance,3292
"Protecting American children from lead poisoning by removing lead from our homes, water supplies, and air",lead,3286
Regulate big technology companies to reduce their power and ensure fair competition,big_techh,3009
Impeaching President Trump,impeach,2923
Fighting climate change and transitioning to a green economy through a Green New Deal,gnd,2721
Ending Republican tariffs which hurt American farmers and producers,tariffs,2712
Protecting working people's right to join a union and bargain for better wages and benefits,labor_rights,2692
Requiring every candidate for federal office to disclose their tax returns from the past 5 years.,tax_returns,2541
"Providing a universal basic income of $1,000 per month to every American over the age of 18.",universal_basic_income,2510
Protecting the US economy from future recessions,recession,2469
Breaking up big banks into smaller companies with less influence and power.,anti_trust_banks,2358
Ensuring racial equality in our education system through federally mandated bussing of children to the most diverse schools,bussing,496
